,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mar del plata,ar,-46.43,-67.52,48.19,53.0,0.0,17.25
1,aklavik,ca,68.22,-135.01,27.63,92.0,40.0,6.93
3,ushuaia,ar,-54.81,-68.31,32.0,82.0,75.0,18.34
4,hermanus,za,-34.42,19.24,55.12,80.0,56.0,8.19
5,punta arenas,cl,-53.16,-70.91,37.4,64.0,20.0,21.92
6,awash,et,8.99,40.17,80.77,31.0,32.0,7.07
7,hilo,us,19.71,-155.08,57.13,70.0,1.0,8.05
8,qaanaaq,gl,77.48,-69.36,23.98,100.0,68.0,12.66
9,kahului,us,20.89,-156.47,67.39,92.0,1.0,4.7
11,klaksvik,fo,62.23,-6.59,44.6,81.0,48.0,20.8
12,kitimat,ca,54.02,-128.69,37.4,37.0,20.0,10.29
13,ribeira grande,pt,38.52,-28.7,73.4,73.0,40.0,19.46
14,new norfolk,au,-42.78,147.06,59.0,44.0,75.0,11.41
15,norman wells,ca,65.28,-126.83,26.6,92.0,75.0,5.82
16,mezdra,bg,43.14,23.71,73.4,38.0,20.0,2.24
17,khash,ir,28.22,61.21,63.94,12.0,0.0,5.84
18,yellowknife,ca,62.45,-114.38,28.4,92.0,75.0,14.99
20,belaya gora,ru,68.54,146.19,29.2,97.0,88.0,3.15
21,kavaratti,in,10.57,72.64,83.83,100.0,56.0,2.71
22,rikitea,pf,-23.12,-134.97,67.9,100.0,100.0,19.04
23,puerto ayora,ec,-0.74,-90.35,71.6,83.0,75.0,4.7
24,maniitsoq,gl,65.42,-52.9,34.15,100.0,36.0,11.32
25,haines junction,ca,60.75,-137.51,11.2,86.0,0.0,2.15
26,hasaki,jp,35.73,140.83,63.25,93.0,75.0,1.12
27,cherskiy,ru,68.75,161.3,32.53,82.0,0.0,4.27
28,henties bay,na,-22.12,14.28,68.89,73.0,0.0,12.88
29,luderitz,na,-26.65,15.16,65.02,72.0,0.0,26.98
30,lebu,cl,-37.62,-73.65,50.98,100.0,88.0,14.45
31,bluff,nz,-46.6,168.33,48.19,100.0,0.0,15.68
32,tasiilaq,gl,65.61,-37.64,35.6,64.0,75.0,8.05
33,gravdal,no,59.79,5.78,47.37,81.0,75.0,36.91
34,leningradskiy,ru,69.38,178.42,41.26,88.0,56.0,19.04
35,albany,au,-35.02,117.88,49.18,84.0,20.0,8.63
36,busselton,au,-33.64,115.35,58.81,100.0,0.0,20.83
37,kiama,au,-34.67,150.86,53.6,87.0,56.0,4.7
38,hambantota,lk,6.12,81.12,77.71,100.0,56.0,5.95
39,mantua,cu,22.29,-84.28,86.08,68.0,0.0,9.75
40,cape town,za,-33.93,18.42,62.6,55.0,40.0,27.51
41,vanimo,pg,-2.67,141.3,85.18,99.0,0.0,11.43
42,jamestown,sh,-15.94,-5.72,68.08,100.0,88.0,16.69
43,lichuan,cn,30.3,108.94,54.76,84.0,92.0,2.37
45,union,us,47.36,-123.1,53.89,93.0,75.0,6.93
46,kropotkin,ru,45.43,40.58,71.23,71.0,88.0,4.72
47,itaituba,br,-4.26,-55.99,93.2,52.0,20.0,12.75
48,georgetown,sh,-7.93,-14.42,75.73,100.0,56.0,13.67
49,darhan,mn,49.49,105.92,40.18,73.0,0.0,5.28
50,atuona,pf,-9.8,-139.03,78.61,100.0,92.0,11.43
51,port alfred,za,-33.59,26.89,64.57,87.0,88.0,32.91
